Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2017","2017","1000 ha","4668.45","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2017","2017","1000 ha","1066","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2017","2017","1000 ha","8185.581","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2018","2018","1000 ha","4662.323","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2018","2018","1000 ha","1066","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2018","2018","1000 ha","8189.365","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2019","2019","1000 ha","4658.153","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2019","2019","1000 ha","1066","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2019","2019","1000 ha","8187.181","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2020","2020","1000 ha","4660.617","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2020","2020","1000 ha","1066","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","8186.759","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2021","2021","1000 ha","4660.617","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2021","2021","1000 ha","1066","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2021","2021","1000 ha","8186.759","I","Imputed value",""
